epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.273,2.07329,2.80984,1.73785,0.51734,0.29016,0.25849,0.09813,2.03242,2.39143,1.79959,0.00025549,0.00025549,0.00025549
2,232.829,1.92552,2.33549,1.66208,0.45644,0.38331,0.30986,0.12002,2.0136,2.95645,1.85683,0.000506756,0.000506756,0.000506756
3,318.225,1.90078,2.29922,1.67319,0.43775,0.36511,0.32389,0.1243,2.0043,2.37191,1.8227,0.000752947,0.000752947,0.000752947
4,398.496,1.86055,2.19857,1.64764,0.44781,0.37235,0.31368,0.11793,1.91632,2.54741,1.76366,0.000746161,0.000746161,0.000746161
5,477.563,1.80843,2.1011,1.59814,0.46817,0.42579,0.38863,0.1622,1.89064,2.08688,1.69414,0.000738548,0.000738548,0.000738548
6,558.056,1.75233,2.0226,1.56843,0.5477,0.47918,0.46225,0.20412,1.80318,1.93507,1.63804,0.000730935,0.000730935,0.000730935
7,637.56,1.72816,1.94537,1.54551,0.45947,0.4954,0.45903,0.20507,1.76548,1.90894,1.61751,0.000723321,0.000723321,0.000723321
8,717.272,1.70097,1.88954,1.52414,0.56092,0.51016,0.4987,0.22646,1.75629,1.8516,1.60936,0.000715708,0.000715708,0.000715708
9,797.57,1.68402,1.85864,1.51104,0.61739,0.4797,0.52141,0.2447,1.71659,1.78147,1.55721,0.000708095,0.000708095,0.000708095
10,877.405,1.66828,1.8262,1.49845,0.58255,0.50727,0.52803,0.24148,1.73194,1.77217,1.5656,0.000700482,0.000700482,0.000700482
11,956.091,1.65462,1.79746,1.4908,0.61429,0.51597,0.57773,0.27604,1.69051,1.73789,1.5422,0.000692869,0.000692869,0.000692869
12,1036.26,1.64798,1.7666,1.48339,0.50751,0.55776,0.55871,0.25422,1.73289,1.68476,1.5505,0.000685256,0.000685256,0.000685256
13,1115.05,1.63418,1.74172,1.47688,0.57867,0.57541,0.59284,0.28405,1.68926,1.61977,1.51622,0.000677643,0.000677643,0.000677643
14,1196.37,1.62131,1.70984,1.46769,0.56946,0.58028,0.58997,0.28552,1.68065,1.60238,1.51364,0.00067003,0.00067003,0.00067003
15,1277.25,1.61384,1.67393,1.45313,0.62756,0.54943,0.58741,0.27925,1.69203,1.59055,1.52729,0.000662417,0.000662417,0.000662417
16,1356.65,1.60038,1.66386,1.44917,0.60143,0.57462,0.61042,0.29462,1.66474,1.61068,1.53202,0.000654804,0.000654804,0.000654804
17,1442.58,1.59325,1.6463,1.44655,0.60414,0.58261,0.62763,0.31194,1.63545,1.55008,1.50115,0.00064719,0.00064719,0.00064719
18,1526.73,1.58507,1.63174,1.44072,0.63248,0.6265,0.6522,0.32579,1.64889,1.50035,1.49747,0.000639577,0.000639577,0.000639577
19,1611.51,1.58858,1.61678,1.43141,0.62429,0.60656,0.64246,0.32375,1.63304,1.49367,1.48802,0.000631964,0.000631964,0.000631964
20,1690.32,1.57368,1.57721,1.42363,0.56669,0.6041,0.62783,0.31805,1.65861,1.52121,1.50233,0.000624351,0.000624351,0.000624351
21,1771.34,1.58184,1.56377,1.42816,0.65202,0.61192,0.65949,0.33157,1.64998,1.46191,1.48437,0.000616738,0.000616738,0.000616738
22,1850.73,1.55935,1.53553,1.4209,0.59807,0.63941,0.65062,0.32949,1.59215,1.4537,1.47167,0.000609125,0.000609125,0.000609125
23,1929.28,1.54836,1.51694,1.41034,0.62563,0.62066,0.66617,0.33979,1.61593,1.4569,1.48107,0.000601512,0.000601512,0.000601512
24,2023.36,1.55131,1.50723,1.41086,0.63658,0.62869,0.66548,0.34294,1.60603,1.45205,1.47488,0.000593899,0.000593899,0.000593899
25,2103.15,1.54595,1.50659,1.40136,0.65529,0.62286,0.67273,0.33657,1.60383,1.43926,1.47233,0.000586286,0.000586286,0.000586286
26,2182.08,1.53809,1.47637,1.40371,0.67,0.65498,0.69468,0.34624,1.62959,1.40522,1.48519,0.000578672,0.000578672,0.000578672
27,2261.57,1.53046,1.46792,1.40177,0.6696,0.6122,0.67072,0.35379,1.61843,1.43473,1.5041,0.000571059,0.000571059,0.000571059
28,2343.36,1.5407,1.45523,1.39674,0.6014,0.66637,0.66296,0.34054,1.58754,1.40605,1.47369,0.000563446,0.000563446,0.000563446
29,2422.66,1.51899,1.43619,1.39023,0.69985,0.62915,0.69695,0.35418,1.59033,1.42823,1.46347,0.000555833,0.000555833,0.000555833
30,2502.28,1.515,1.42721,1.37989,0.69222,0.62713,0.69982,0.36205,1.61734,1.32544,1.48043,0.00054822,0.00054822,0.00054822
