               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096008,            0.032524,            0.059601,          0.00036103,            0.060347,          0.00026294,          6.3405e-05,            0.088485,            0.027484,            0.057466,            0.070395,           0.0032895,           0.0032895
                   1,             0.09207,            0.030403,            0.053905,           0.0011618,             0.14724,          0.00090176,          0.00021377,            0.098384,            0.021564,            0.061752,            0.040382,           0.0066097,           0.0066097
                   2,            0.090068,            0.028994,            0.046363,           0.0010218,             0.11458,          0.00078584,          0.00019367,            0.087719,            0.023852,            0.045802,            0.010355,           0.0099167,           0.0099167
                   3,            0.087378,            0.029052,            0.041935,             0.68278,            0.016958,           0.0094046,           0.0027068,            0.084881,            0.027224,            0.040357,           0.0099406,           0.0099406,           0.0099406
                   4,            0.081271,            0.030319,            0.036831,             0.91071,            0.031267,            0.021707,           0.0062239,            0.077543,            0.027643,            0.040618,           0.0099406,           0.0099406,           0.0099406
                   5,            0.074771,            0.031166,            0.034372,             0.91712,            0.037979,            0.036944,            0.010503,            0.073961,            0.030075,            0.040447,           0.0099208,           0.0099208,           0.0099208
                   6,            0.070379,            0.031177,            0.030291,             0.75862,            0.085966,            0.055784,            0.016269,            0.067768,            0.027762,             0.03111,            0.009901,            0.009901,            0.009901
                   7,            0.065977,            0.030528,            0.026651,             0.75893,             0.12567,            0.079148,            0.027084,            0.064753,            0.028607,            0.032695,           0.0098812,           0.0098812,           0.0098812
                   8,            0.063035,            0.029862,            0.024226,             0.78305,            0.095067,            0.092497,            0.030838,            0.062488,            0.025144,            0.027835,           0.0098614,           0.0098614,           0.0098614
                   9,            0.060682,            0.030106,            0.022538,             0.55849,             0.19638,              0.1717,            0.055458,             0.05851,            0.025828,            0.021836,           0.0098416,           0.0098416,           0.0098416
                  10,            0.059011,             0.02915,            0.021455,             0.66232,             0.18084,             0.17042,            0.058412,            0.058367,            0.025809,            0.021858,           0.0098218,           0.0098218,           0.0098218
                  11,            0.057748,            0.028656,            0.020502,             0.43552,              0.2558,             0.22224,            0.082616,            0.055468,            0.023178,            0.020184,            0.009802,            0.009802,            0.009802
                  12,            0.056449,            0.028506,            0.019645,             0.51307,              0.2172,             0.20671,            0.067885,            0.059209,             0.02445,            0.021261,           0.0097822,           0.0097822,           0.0097822
                  13,            0.055383,            0.028179,            0.019514,             0.53071,              0.2963,             0.27252,             0.10169,            0.053795,            0.022384,            0.018314,           0.0097624,           0.0097624,           0.0097624
                  14,            0.054483,            0.028327,            0.018493,             0.48086,             0.28357,             0.26362,            0.096397,            0.055812,             0.02345,            0.017999,           0.0097426,           0.0097426,           0.0097426
                  15,             0.05367,            0.028125,            0.018273,             0.42028,             0.30285,             0.29144,             0.10541,            0.052473,            0.022104,            0.016562,           0.0097228,           0.0097228,           0.0097228
                  16,             0.05308,            0.027422,             0.01774,             0.45673,             0.31951,              0.3102,             0.11621,            0.052562,            0.022429,            0.017343,            0.009703,            0.009703,            0.009703
                  17,            0.052284,            0.027079,            0.017127,             0.46485,             0.31469,             0.28441,              0.1082,            0.052856,            0.022165,            0.018158,           0.0096832,           0.0096832,           0.0096832
                  18,            0.051962,            0.026969,            0.016738,             0.50224,             0.31512,             0.31713,             0.12252,            0.052706,            0.021896,            0.016742,           0.0096634,           0.0096634,           0.0096634
                  19,            0.051489,            0.027125,            0.016252,             0.49827,             0.33616,             0.34362,             0.13473,            0.049644,             0.02228,             0.01615,           0.0096436,           0.0096436,           0.0096436
                  20,            0.051056,             0.02684,            0.016182,             0.51353,             0.37036,             0.35097,              0.1366,            0.049781,            0.021735,            0.015188,           0.0096238,           0.0096238,           0.0096238
                  21,             0.05052,            0.026575,            0.015811,              0.5056,             0.36971,             0.33809,             0.12777,            0.049328,            0.021717,            0.015225,            0.009604,            0.009604,            0.009604
                  22,            0.050206,            0.026549,            0.015361,             0.52629,             0.35683,              0.3539,             0.14206,            0.049107,            0.021957,            0.016169,           0.0095842,           0.0095842,           0.0095842
                  23,            0.049702,            0.026618,            0.015217,             0.51693,             0.32196,             0.34706,             0.13558,            0.050171,            0.022115,            0.016629,           0.0095644,           0.0095644,           0.0095644
                  24,             0.04947,            0.026615,            0.015124,             0.51109,             0.30555,             0.31255,             0.12091,            0.050547,            0.022143,            0.016371,           0.0095446,           0.0095446,           0.0095446
