               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094572,            0.032695,            0.059073,          0.00036864,             0.06032,          0.00026836,          6.4139e-05,            0.088329,            0.027123,            0.056819,            0.070395,           0.0032895,           0.0032895
                   1,             0.09098,            0.030405,            0.052664,           0.0010996,             0.10378,          0.00074861,          0.00020939,            0.091712,            0.023112,            0.051972,            0.040373,            0.006601,            0.006601
                   2,            0.088054,            0.029046,            0.043586,             0.89783,            0.019078,           0.0057427,           0.0015217,            0.084729,            0.028339,            0.041246,            0.010329,           0.0098904,           0.0098904
                   3,            0.081779,            0.030045,            0.036495,             0.69875,            0.030207,            0.021128,            0.005157,            0.086345,            0.024032,            0.036341,            0.009901,            0.009901,            0.009901
                   4,             0.07679,             0.03099,            0.031856,             0.72821,            0.014813,              0.0144,           0.0040003,            0.084767,             0.02396,            0.038077,            0.009901,            0.009901,            0.009901
                   5,             0.07027,            0.030619,            0.028263,             0.75583,             0.10818,            0.080934,            0.024534,            0.071771,            0.025775,            0.026197,            0.009868,            0.009868,            0.009868
                   6,             0.06448,            0.030337,            0.024523,             0.58225,            0.092702,            0.069302,            0.023143,            0.081602,            0.031133,            0.040288,            0.009835,            0.009835,            0.009835
                   7,            0.060308,            0.029092,            0.021937,             0.57387,             0.13064,             0.10027,            0.035521,            0.062131,            0.025525,            0.026792,            0.009802,            0.009802,            0.009802
                   8,              0.0577,            0.028053,            0.019544,             0.58584,              0.2402,             0.23155,            0.083597,            0.054696,            0.024401,             0.01988,            0.009769,            0.009769,            0.009769
                   9,            0.055687,            0.027936,            0.018346,             0.44721,             0.25666,             0.22683,            0.081019,            0.057308,            0.023189,            0.021167,            0.009736,            0.009736,            0.009736
                  10,            0.054382,            0.026836,            0.017101,             0.48321,             0.31865,             0.27257,             0.10205,            0.053978,            0.022595,            0.020017,            0.009703,            0.009703,            0.009703
                  11,             0.05279,            0.026128,            0.016134,             0.52026,             0.37759,             0.34718,             0.13368,            0.049407,             0.02194,            0.015987,             0.00967,             0.00967,             0.00967
                  12,            0.051529,            0.025983,             0.01557,             0.47927,             0.33891,             0.28707,             0.10493,            0.053767,            0.021781,             0.01509,            0.009637,            0.009637,            0.009637
                  13,            0.050404,            0.025572,            0.015321,             0.45848,             0.25853,             0.19538,            0.074231,            0.056112,            0.025122,            0.025488,            0.009604,            0.009604,            0.009604
                  14,            0.049383,            0.025659,            0.014672,             0.55457,             0.39354,             0.39174,             0.15328,            0.048542,            0.020518,            0.014671,            0.009571,            0.009571,            0.009571
                  15,            0.048743,            0.025235,            0.014169,             0.53071,             0.27826,             0.27104,            0.099868,            0.056056,            0.022393,            0.017875,            0.009538,            0.009538,            0.009538
                  16,            0.048107,             0.02465,            0.013566,             0.51137,             0.34219,             0.32804,             0.13043,            0.050569,            0.021781,            0.018848,            0.009505,            0.009505,            0.009505
                  17,            0.047162,            0.024251,            0.012979,              0.5886,             0.41473,             0.42853,             0.17201,            0.045882,            0.020377,            0.014371,            0.009472,            0.009472,            0.009472
                  18,            0.046769,            0.024022,            0.012502,              0.3878,             0.29152,             0.26432,             0.10235,             0.05332,               0.023,            0.022374,            0.009439,            0.009439,            0.009439
                  19,            0.046602,            0.024244,            0.012155,             0.58731,             0.39376,             0.40925,             0.16212,            0.046682,             0.02062,            0.013728,            0.009406,            0.009406,            0.009406
                  20,            0.046281,            0.023858,            0.011994,             0.58826,             0.40204,             0.41812,             0.16989,            0.046582,            0.020361,            0.016387,            0.009373,            0.009373,            0.009373
                  21,            0.045064,            0.023568,             0.01173,             0.65913,             0.49899,             0.52924,             0.22504,            0.043589,             0.01922,            0.011512,             0.00934,             0.00934,             0.00934
                  22,            0.045217,            0.023617,            0.011203,             0.66758,             0.49212,             0.53924,             0.23484,            0.041922,             0.01877,             0.01017,            0.009307,            0.009307,            0.009307
                  23,            0.044923,             0.02363,            0.011053,             0.52789,             0.48388,             0.49098,             0.20072,             0.04355,            0.020041,            0.011727,            0.009274,            0.009274,            0.009274
                  24,            0.044647,            0.023332,             0.01092,             0.49541,             0.40265,             0.42711,              0.1812,            0.045502,             0.02166,            0.014424,            0.009241,            0.009241,            0.009241
                  25,            0.044162,            0.023049,            0.010761,             0.43772,             0.32093,              0.3333,             0.13502,            0.051101,            0.021183,            0.020294,            0.009208,            0.009208,            0.009208
                  26,             0.04421,             0.02357,            0.010548,             0.56369,             0.48528,             0.51076,             0.22479,            0.042967,             0.01946,            0.012865,            0.009175,            0.009175,            0.009175
                  27,            0.043535,            0.023134,            0.010316,             0.54693,             0.42716,             0.45552,             0.19512,            0.045966,            0.020573,            0.012194,            0.009142,            0.009142,            0.009142
                  28,            0.043502,            0.023027,            0.010089,             0.49534,             0.46762,              0.4756,             0.19474,            0.045537,            0.019847,            0.012531,            0.009109,            0.009109,            0.009109
                  29,            0.042882,              0.0229,           0.0097756,             0.52554,                0.45,             0.48138,             0.20761,            0.044012,            0.020933,            0.013288,            0.009076,            0.009076,            0.009076
                  30,            0.042543,            0.022619,           0.0097103,             0.59379,             0.53069,             0.57188,             0.25067,            0.041479,            0.019083,           0.0093789,            0.009043,            0.009043,            0.009043
                  31,            0.042873,            0.022418,           0.0096346,             0.58004,             0.57568,             0.58498,             0.26186,            0.041005,            0.018295,           0.0096522,             0.00901,             0.00901,             0.00901
                  32,            0.042354,            0.022451,           0.0096308,             0.65667,             0.54194,             0.58581,             0.27091,            0.040145,            0.018482,           0.0081495,            0.008977,            0.008977,            0.008977
                  33,            0.042418,            0.022515,           0.0093119,             0.57406,             0.47917,             0.51158,             0.22917,            0.042481,            0.019979,            0.012663,            0.008944,            0.008944,            0.008944
                  34,            0.042066,            0.022371,           0.0093016,              0.5919,             0.54185,             0.58955,             0.26045,            0.040995,            0.017863,           0.0086756,            0.008911,            0.008911,            0.008911
                  35,            0.042026,            0.022468,            0.009132,             0.60874,             0.54002,             0.59864,             0.26851,            0.042494,            0.017756,            0.008329,            0.008878,            0.008878,            0.008878
                  36,            0.041817,            0.022249,           0.0091325,             0.60305,             0.57079,             0.60104,             0.27529,            0.040791,            0.017953,           0.0089428,            0.008845,            0.008845,            0.008845
                  37,            0.041414,            0.022244,           0.0089093,             0.68075,             0.55262,             0.61204,             0.28031,            0.039931,            0.018374,           0.0094067,            0.008812,            0.008812,            0.008812
                  38,            0.041558,            0.022248,           0.0088353,             0.61637,             0.53575,             0.58492,             0.26368,            0.040991,            0.018601,           0.0095337,            0.008779,            0.008779,            0.008779
